epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,346.298,3.03888,4.22884,4.19917,0.00286,0.89943,0.02207,0.00564,2.33411,3.91882,3.60862,0.000368374,0.000368374,0.000368374
2,657.635,2.91272,3.85714,3.86613,0.81382,0.09109,0.05312,0.02082,2.34625,5.17606,3.50067,0.000731394,0.000731394,0.000731394
3,975.934,2.65992,3.51769,3.45634,0.86214,0.06139,0.11465,0.03032,2.36785,3.24563,3.1315,0.00108708,0.00108708,0.00108708
4,1281.03,2.45067,3.27049,3.13042,0.25607,0.19923,0.20996,0.06988,2.02355,3.26635,2.67507,0.001078,0.001078,0.001078
5,1587.99,2.28726,3.08462,2.90945,0.18012,0.60489,0.2368,0.08315,1.92318,3.14747,2.56236,0.001067,0.001067,0.001067
6,1893.29,2.15547,2.93587,2.79028,0.39547,0.59047,0.42555,0.1455,1.79943,2.81143,2.39135,0.00105601,0.00105601,0.00105601
7,2197.53,2.0471,2.83192,2.6725,0.37783,0.51509,0.42856,0.17231,1.62321,2.60377,2.29268,0.00104501,0.00104501,0.00104501
8,2501.71,1.9519,2.70235,2.58527,0.18368,0.75991,0.34289,0.14798,1.59396,2.50579,2.27303,0.00103401,0.00103401,0.00103401
9,2806.52,1.89061,2.53387,2.49514,0.2202,0.66132,0.45538,0.19795,1.55613,2.59558,2.21878,0.00102301,0.00102301,0.00102301
10,3112.52,1.89472,2.43025,2.46754,0.88064,0.27793,0.43051,0.19304,1.58715,2.18124,2.21391,0.00101201,0.00101201,0.00101201
11,3418.77,1.80545,2.31321,2.36133,0.88046,0.22433,0.35173,0.17573,1.59312,2.11148,2.16975,0.00100101,0.00100101,0.00100101
12,3725.93,1.70433,2.17689,2.28577,0.27276,0.59742,0.4554,0.19698,1.57477,2.03763,2.17486,0.000990012,0.000990012,0.000990012
13,4031.94,1.66307,2.08148,2.22329,0.57002,0.65501,0.61358,0.27218,1.40725,1.7385,2.02983,0.000979013,0.000979013,0.000979013
14,4338.23,1.6459,2.02652,2.18078,0.78051,0.16066,0.12334,0.0673,1.90776,4.42876,2.5955,0.000968014,0.000968014,0.000968014
15,4642.63,1.56936,1.96548,2.14474,0.38803,0.6,0.6851,0.31101,1.33196,1.48965,1.99148,0.000957015,0.000957015,0.000957015
16,4948.6,1.57703,1.91502,2.12373,0.32215,0.74188,0.65302,0.30819,1.4335,1.71137,2.06647,0.000946016,0.000946016,0.000946016
17,5254.93,1.53416,1.85774,2.07603,0.56147,0.58648,0.69352,0.3481,1.28257,1.50396,1.9013,0.000935018,0.000935018,0.000935018
18,5560.16,1.45598,1.76609,2.01556,0.64623,0.67837,0.69372,0.33786,1.34329,1.51769,1.89732,0.000924019,0.000924019,0.000924019
19,5865.74,1.45182,1.72544,2.00747,0.36232,0.74858,0.56923,0.30115,1.25201,1.48651,1.8783,0.00091302,0.00091302,0.00091302
20,6170.96,1.39876,1.6537,1.95085,0.56177,0.7397,0.70895,0.37659,1.24354,1.43223,1.85349,0.000902021,0.000902021,0.000902021
21,6477.05,1.40552,1.67992,1.94868,0.57867,0.61215,0.53185,0.26828,1.52002,1.73114,2.1281,0.000891022,0.000891022,0.000891022
22,6781.43,1.32961,1.56944,1.87487,0.37318,0.64982,0.5932,0.34172,1.21033,1.48781,1.91193,0.000880023,0.000880023,0.000880023
23,7087.03,1.32674,1.57372,1.89401,0.42858,0.83653,0.68901,0.37919,1.17041,1.39805,1.78646,0.000869024,0.000869024,0.000869024
24,7392.43,1.30713,1.55017,1.85965,0.44971,0.59262,0.49989,0.25752,1.43905,1.85634,2.08442,0.000858025,0.000858025,0.000858025
25,7698.06,1.31897,1.50468,1.84526,0.59553,0.73716,0.77139,0.42331,1.11597,1.2357,1.7347,0.000847026,0.000847026,0.000847026
26,8003.29,1.31347,1.51623,1.85179,0.58553,0.82856,0.82113,0.47257,1.05529,1.19332,1.64176,0.000836027,0.000836027,0.000836027
27,8308.18,1.25049,1.44868,1.80361,0.41189,0.77201,0.70892,0.38108,1.32678,1.41762,1.94361,0.000825029,0.000825029,0.000825029
28,8615.52,1.23023,1.45634,1.78701,0.52179,0.87441,0.81241,0.46088,1.13306,1.26398,1.76302,0.00081403,0.00081403,0.00081403
29,8921.38,1.21866,1.41578,1.76751,0.62751,0.84872,0.7985,0.50087,0.94911,1.06098,1.56365,0.000803031,0.000803031,0.000803031
30,9226.26,1.15298,1.34515,1.70906,0.56489,0.87176,0.78462,0.43687,1.05981,1.15847,1.63415,0.000792032,0.000792032,0.000792032
31,9530.59,1.17431,1.32443,1.72385,0.64265,0.85794,0.86426,0.51931,0.94858,1.00216,1.54836,0.000781033,0.000781033,0.000781033
32,9844.13,1.19303,1.38308,1.75103,0.59934,0.75503,0.76901,0.43577,1.04137,1.22549,1.68621,0.000770034,0.000770034,0.000770034
33,10152,1.12324,1.31396,1.68614,0.77788,0.80775,0.85032,0.47579,1.09809,1.05678,1.77688,0.000759035,0.000759035,0.000759035
34,10453.7,1.06683,1.25471,1.65076,0.71333,0.86186,0.85593,0.48229,1.0383,1.06728,1.70284,0.000748036,0.000748036,0.000748036
35,10754.7,1.11576,1.30133,1.69259,0.74879,0.83881,0.88533,0.49871,0.99956,1.00587,1.58832,0.000737037,0.000737037,0.000737037
36,11053,1.12011,1.27164,1.67972,0.70034,0.85371,0.83576,0.47239,1.19006,1.04317,1.84798,0.000726038,0.000726038,0.000726038
37,11353.1,1.11658,1.2539,1.67352,0.8076,0.82621,0.89813,0.49162,1.14228,1.12486,1.80969,0.00071504,0.00071504,0.00071504
38,11654.8,1.1216,1.29041,1.67465,0.60124,0.69585,0.69372,0.38233,1.35777,1.42882,2.08062,0.000704041,0.000704041,0.000704041
39,11955.8,1.06573,1.19969,1.63571,0.84516,0.7864,0.86328,0.54367,0.8906,1.00048,1.50125,0.000693042,0.000693042,0.000693042
40,12256.5,1.0945,1.23681,1.65785,0.75321,0.86187,0.86017,0.53153,1.02593,0.99122,1.63883,0.000682043,0.000682043,0.000682043
41,12557.8,1.03014,1.19758,1.60756,0.75788,0.8635,0.87544,0.57682,0.83423,0.86163,1.46877,0.000671044,0.000671044,0.000671044
42,12858.4,1.03271,1.18602,1.59295,0.82187,0.78559,0.8995,0.53542,0.9355,0.96741,1.57946,0.000660045,0.000660045,0.000660045
43,13161.1,1.00116,1.14237,1.59188,0.7968,0.67055,0.84906,0.4876,1.22032,1.39804,1.90633,0.000649046,0.000649046,0.000649046
44,13462.6,1.01859,1.16651,1.59439,0.86647,0.87405,0.88614,0.58552,0.8467,0.88585,1.44813,0.000638047,0.000638047,0.000638047
45,13763.7,1.00423,1.10502,1.57893,0.89227,0.79605,0.89637,0.53365,1.03208,0.96853,1.60171,0.000627048,0.000627048,0.000627048
46,14064.7,1.01503,1.13289,1.59755,0.56262,0.87087,0.73368,0.34194,1.46071,1.28797,2.38697,0.000616049,0.000616049,0.000616049
47,14364.6,1.0144,1.14462,1.58381,0.79224,0.78715,0.89902,0.53549,0.91389,1.00948,1.52636,0.000605051,0.000605051,0.000605051
48,14665,0.93938,1.05721,1.5322,0.85564,0.78443,0.91306,0.52399,0.88743,0.96276,1.54825,0.000594052,0.000594052,0.000594052
49,14966.2,0.96462,1.05943,1.55054,0.9222,0.93436,0.92212,0.61143,0.85773,0.76596,1.44358,0.000583053,0.000583053,0.000583053
50,15266.5,0.97821,1.08406,1.55379,0.93858,0.90387,0.93347,0.59025,0.90123,0.74949,1.52188,0.000572054,0.000572054,0.000572054
51,15565.8,0.94638,1.03864,1.52945,0.83172,0.85901,0.9043,0.46032,1.26205,1.07625,1.98081,0.000561055,0.000561055,0.000561055
52,15866.4,0.89967,1.01063,1.5033,0.83201,0.75109,0.88087,0.49876,0.96442,1.02281,1.68863,0.000550056,0.000550056,0.000550056
53,16166.4,0.92275,1.01464,1.52947,0.91055,0.90628,0.92152,0.59555,0.87782,0.7723,1.47421,0.000539057,0.000539057,0.000539057
54,336.016,0.94659,1.01314,1.52547,0.47196,0.57227,0.59566,0.27055,1.71753,1.82041,2.82775,0.000528058,0.000528058,0.000528058
55,665.609,0.88956,0.99437,1.49589,0.83462,0.74232,0.78884,0.39692,1.35405,1.14916,2.23091,0.000517059,0.000517059,0.000517059
56,982.162,0.89596,0.97522,1.49565,0.82946,0.83753,0.89185,0.58732,0.99242,0.79815,1.63264,0.00050606,0.00050606,0.00050606
57,1301.98,0.89138,0.98942,1.48046,0.91508,0.9233,0.92483,0.61758,0.8456,0.72151,1.46763,0.000495062,0.000495062,0.000495062
58,1627.48,0.88454,0.95866,1.4764,0.89008,0.87815,0.91818,0.62564,0.79173,0.74978,1.43639,0.000484063,0.000484063,0.000484063
59,1944.22,0.91373,0.98286,1.51189,0.47965,0.65968,0.57636,0.27796,1.52841,1.78811,2.51366,0.000473064,0.000473064,0.000473064
60,2282.85,0.88519,0.96272,1.48688,0.73929,0.8019,0.7815,0.45902,1.18667,1.08554,1.87846,0.000462065,0.000462065,0.000462065
61,2598.47,0.86631,0.96523,1.47426,0.93076,0.91186,0.9205,0.62871,0.78085,0.70286,1.3887,0.000451066,0.000451066,0.000451066
62,2914.14,0.8516,0.94984,1.45873,0.89283,0.93255,0.94351,0.66981,0.74737,0.71006,1.35466,0.000440067,0.000440067,0.000440067
63,3222.05,0.88815,0.97736,1.50447,0.90469,0.94351,0.92901,0.64213,0.75678,0.70145,1.3945,0.000429068,0.000429068,0.000429068
64,3535.85,0.84951,0.93523,1.47325,0.779,0.82547,0.86416,0.50344,1.10423,1.06123,1.75943,0.000418069,0.000418069,0.000418069
65,3919.31,0.83139,0.91505,1.44091,0.9187,0.93988,0.93234,0.6076,0.80117,0.70142,1.41215,0.00040707,0.00040707,0.00040707
66,4270.12,0.8381,0.91843,1.44446,0.90768,0.92619,0.921,0.64156,0.7299,0.66258,1.34031,0.000396071,0.000396071,0.000396071
67,4600.53,0.85148,0.92886,1.45627,0.86587,0.90186,0.8737,0.60034,0.76812,0.70679,1.39612,0.000385073,0.000385073,0.000385073
68,4950.47,0.84894,0.94045,1.46959,0.77735,0.81752,0.83029,0.49617,1.18335,1.06158,1.95146,0.000374074,0.000374074,0.000374074
69,5266.96,0.85279,0.94141,1.46436,0.8758,0.92362,0.92047,0.66863,0.6984,0.65249,1.30554,0.000363075,0.000363075,0.000363075
70,5575.06,0.83862,0.92493,1.44825,0.89704,0.91112,0.91877,0.67015,0.71291,0.61966,1.37061,0.000352076,0.000352076,0.000352076
71,5887.63,0.83416,0.91682,1.44943,0.82479,0.93135,0.8926,0.66966,0.69528,0.63734,1.32327,0.000341077,0.000341077,0.000341077
72,6192.13,0.83026,0.88979,1.43987,0.84607,0.91934,0.88271,0.61455,0.75102,0.71837,1.4116,0.000330078,0.000330078,0.000330078
73,6493.69,0.80407,0.89662,1.41742,0.74746,0.81022,0.86941,0.50312,0.94466,0.96033,1.65928,0.000319079,0.000319079,0.000319079
74,6792.51,0.80243,0.90069,1.43033,0.88611,0.83588,0.91486,0.5357,0.9373,0.84554,1.65425,0.00030808,0.00030808,0.00030808
75,7095.17,0.76753,0.83484,1.39597,0.87011,0.91112,0.91514,0.67689,0.6836,0.61632,1.31219,0.000297081,0.000297081,0.000297081
